r;ampl3
1.203457E-3;-5.443433
0.1001445;-5.435647
0.2004398;-5.441163
0.3007899;-5.448273
0.4011657;-5.452218
0.5003425;-5.440796
0.6007252;-5.429541
0.7011043;-5.428825
0.8002653;-5.44198
0.9006251;-5.479891
1.00098;-5.511753
1.100116;-5.519801
1.200457;-5.540466
1.300795;-5.517704
1.40113;-5.458585
1.500255;-5.428375
1.60059;-5.433793
1.700924;-5.404413
1.80005;-5.370727
1.900385;-5.357359
2.000722;-5.344079
2.101061;-5.330261
2.200195;-5.339403
2.300537;-5.346384
2.400877;-5.338847
2.500016;-5.325506
2.600355;-5.306037
2.700701;-5.26886
2.801043;-5.236809
2.900177;-5.210169
3.000525;-5.187705
3.100868;-5.15937
3.200001;-5.127489
3.300341;-5.099109
3.400682;-5.071684
3.501021;-5.041267
3.600154;-5.003529
3.700492;-4.971235
3.80083;-4.942949
3.901164;-4.921801
4.000292;-4.901525
4.100627;-4.878236
4.20096;-4.856463
4.300082;-4.838064
4.400412;-4.825254
4.500744;-4.819002
4.601078;-4.810922
4.700198;-4.804785
4.800523;-4.802412
4.900858;-4.801949
5.001192;-4.803487
5.100311;-4.804736
5.200642;-4.804348
5.300978;-4.801516
5.400091;-4.801441
5.500429;-4.801812
5.60076;-4.800041
5.701091;-4.799676
5.80022;-4.796738
5.900544;-4.796907
6.000883;-4.800886
6.101206;-4.801966
6.200337;-4.808269
6.300664;-4.818265
6.401007;-4.83431
6.500115;-4.848912
6.600446;-4.868483
6.700768;-4.885328
6.801111;-4.901467
6.900225;-4.910837
7.00057;-4.915498
7.100899;-4.920246
7.200026;-4.919191
7.300358;-4.9159
7.40068;-4.911675
7.501017;-4.905026
7.60013;-4.896583
7.700467;-4.891413
7.800794;-4.891371
7.901116;-4.893634
8.000241;-4.898771
8.100555;-4.904337
8.200881;-4.906199
8.300002;-4.911808
8.400319;-4.919278
8.50065;-4.924538
8.600978;-4.931809
8.700089;-4.940027
8.800423;-4.94145
8.900744;-4.941087
9.001057;-4.939897
9.10018;-4.938163
9.200502;-4.936124
9.300811;-4.935559
9.401139;-4.931403
9.500261;-4.92772
9.60057;-4.924263
9.700891;-4.92093
9.80001;-4.918265
9.900319;-4.915038
10.00063;-4.910668
10.10096;-4.907141
10.20007;-4.905632
10.30038;-4.899708
10.4007;-4.888288
10.50103;-4.879015
10.60013;-4.871036
10.70045;-4.863984
10.80076;-4.857603
10.90109;-4.848144
11.0002;-4.839673
11.10051;-4.838787
11.20084;-4.83829
11.30117;-4.835264
11.40026;-4.834685
11.50056;-4.837662
11.60087;-4.841155
11.7012;-4.845451
11.8003;-4.855146
11.90061;-4.865656
12.00092;-4.871755
12.10004;-4.883197
12.20035;-4.894656
12.30067;-4.902032
12.40097;-4.904629
12.50008;-4.906301
12.60041;-4.9067
12.70072;-4.901401
12.80102;-4.893271
12.90012;-4.886488
13.00044;-4.87801
13.10077;-4.871788
13.20108;-4.865139
13.30018;-4.863723
13.40048;-4.860882
13.5008;-4.861388
13.60111;-4.859369
13.70021;-4.858761
13.8005;-4.858681
13.90081;-4.854365
14.00111;-4.852208
14.1002;-4.844917
14.20051;-4.834583
14.30082;-4.825713
14.40112;-4.815806
14.50022;-4.804522
14.60054;-4.792905
14.70085;-4.781879
14.80116;-4.771862
14.90026;-4.766182
15.00056;-4.761115
15.10086;-4.755445
15.20115;-4.755006
15.30025;-4.753431
15.40055;-4.754153
15.50083;-4.753756
15.60113;-4.75613
15.70021;-4.76024
15.80052;-4.767697
15.90084;-4.775683
16.00112;-4.782586
16.10022;-4.792471
16.20053;-4.803472
16.30083;-4.814446
16.40114;-4.825795
16.50023;-4.836829
16.60053;-4.849514
16.70084;-4.861651
16.80113;-4.868973
16.90023;-4.875805
17.00053;-4.883063
17.10082;-4.888081
17.20112;-4.895366
17.3002;-4.90382
17.40049;-4.90909
17.50079;-4.915725
17.60109;-4.928456
17.70016;-4.940201
17.80046;-4.947896
17.90076;-4.952534
18.00105;-4.951792
18.10013;-4.948553
18.20043;-4.940093
