r;ampl5
1.203457E-3;-5.519954
0.1001445;-5.430274
0.2004398;-5.369377
0.3007899;-5.336449
0.4011657;-5.345332
0.5003425;-5.314392
0.6007252;-5.305963
0.7011043;-5.36313
0.8002653;-5.39476
0.9006251;-5.454226
1.00098;-5.461348
1.100116;-5.456989
1.200457;-5.566901
1.300795;-5.510426
1.40113;-5.536326
1.500255;-5.467398
1.60059;-5.63081
1.700924;-5.856022
1.80005;-5.886925
1.900385;-5.728602
2.000722;-5.647649
2.101061;-5.641746
2.200195;-5.480338
2.300537;-5.499683
2.400877;-5.434818
2.500016;-5.438819
2.600355;-5.451338
2.700701;-5.460418
2.801043;-5.483753
2.900177;-5.443353
3.000525;-5.404093
3.100868;-5.37547
3.200001;-5.361113
3.300341;-5.373083
3.400682;-5.379516
3.501021;-5.402982
3.600154;-5.404733
3.700492;-5.376849
3.80083;-5.412553
3.901164;-5.40989
4.000292;-5.421554
4.100627;-5.425142
4.20096;-5.464746
4.300082;-5.488097
4.400412;-5.441248
4.500744;-5.399489
4.601078;-5.409778
4.700198;-5.405936
4.800523;-5.406114
4.900858;-5.410242
5.001192;-5.39757
5.100311;-5.330127
5.200642;-5.320225
5.300978;-5.299529
5.400091;-5.307028
5.500429;-5.291399
5.60076;-5.275843
5.701091;-5.269179
5.80022;-5.248231
5.900544;-5.232447
6.000883;-5.209688
6.101206;-5.206833
6.200337;-5.195955
6.300664;-5.188629
6.401007;-5.213939
6.500115;-5.209561
6.600446;-5.231203
6.700768;-5.254992
6.801111;-5.293365
6.900225;-5.350869
7.00057;-5.444053
7.100899;-5.531
7.200026;-5.637771
7.300358;-5.863373
7.40068;-6.030049
7.501017;-6.086577
7.60013;-5.968941
7.700467;-5.896812
7.800794;-5.697506
7.901116;-5.596967
8.000241;-5.542879
8.100555;-5.502802
8.200881;-5.390526
8.300002;-5.40585
8.400319;-5.344727
8.50065;-5.32653
8.600978;-5.308778
8.700089;-5.276576
8.800423;-5.284072
8.900744;-5.240621
9.001057;-5.281416
9.10018;-5.290192
9.200502;-5.26526
9.300811;-5.279147
9.401139;-5.275016
9.500261;-5.284022
9.60057;-5.274806
9.700891;-5.275318
9.80001;-5.276302
9.900319;-5.275089
10.00063;-5.303178
10.10096;-5.321627
10.20007;-5.335647
10.30038;-5.380123
10.4007;-5.402433
10.50103;-5.433477
10.60013;-5.463604
10.70045;-5.487768
10.80076;-5.552623
10.90109;-5.608056
11.0002;-5.704515
11.10051;-5.751645
11.20084;-5.864828
11.30117;-5.795344
11.40026;-5.762325
11.50056;-5.64566
11.60087;-5.543793
11.7012;-5.42089
11.8003;-5.350487
11.90061;-5.297301
12.00092;-5.244122
12.10004;-5.183877
12.20035;-5.145977
12.30067;-5.114743
12.40097;-5.093775
12.50008;-5.073426
12.60041;-5.050562
12.70072;-5.049644
12.80102;-5.053785
12.90012;-5.057196
13.00044;-5.062388
13.10077;-5.086974
13.20108;-5.129839
13.30018;-5.160854
13.40048;-5.192962
13.5008;-5.228842
13.60111;-5.26821
13.70021;-5.327273
13.8005;-5.40622
