r;ampl4
28.90048;-4.420062
29.00065;-4.411977
29.10086;-4.403404
29.20104;-4.393965
29.30117;-4.386087
29.40009;-4.37759
29.50018;-4.37153
29.6003;-4.36658
29.70047;-4.358793
29.8007;-4.352773
29.90093;-4.347129
30.00114;-4.342279
30.10015;-4.337765
30.20035;-4.334932
30.30054;-4.331569
30.40074;-4.326315
30.50092;-4.323951
30.60111;-4.323392
30.70009;-4.321875
30.80027;-4.318052
30.90043;-4.317346
31.00055;-4.316242
31.10065;-4.314987
31.20079;-4.313096
31.301;-4.310877
31.4012;-4.307442
31.50019;-4.303874
31.60038;-4.301788
31.70052;-4.297957
31.80066;-4.294684
31.90084;-4.289978
32.00102;-4.284438
32.10002;-4.27786
32.20023;-4.272061
32.30039;-4.264838
32.40051;-4.257574
32.50061;-4.249498
32.60076;-4.243501
32.70094;-4.235068
32.8011;-4.228622
32.90007;-4.22029
33.00024;-4.21321
33.10039;-4.20761
33.20053;-4.201744
33.30067;-4.195679
33.40084;-4.189882
33.50101;-4.184631
33.60119;-4.179921
33.70017;-4.174811
33.80035;-4.169568
33.90051;-4.165415
34.00064;-4.160936
34.10075;-4.156797
34.20085;-4.1532
34.30093;-4.148076
34.40104;-4.144553
34.50117;-4.140978
34.60012;-4.135621
34.70025;-4.132263
34.80033;-4.128062
34.90038;-4.125835
35.00046;-4.121995
35.10062;-4.118734
35.2008;-4.115642
35.30096;-4.112733
35.40107;-4.109001
35.50115;-4.105909
35.60119;-4.102852
35.70002;-4.099195
35.80007;-4.097777
35.90016;-4.093644
36.00022;-4.09142
36.10029;-4.088139
36.20039;-4.085302
36.30053;-4.082214
36.40066;-4.07957
36.50073;-4.076326
36.60076;-4.074206
36.70083;-4.071681
36.80097;-4.069507
36.90107;-4.066873
37.00116;-4.064082
37.1;-4.061617
37.20004;-4.058889
37.30006;-4.057215
37.40013;-4.05377
37.50021;-4.051912
37.60029;-4.04755
37.70039;-4.045068
37.8005;-4.042193
37.90056;-4.038765
38.00064;-4.034426
38.10073;-4.03064
38.20083;-4.026403
38.30088;-4.02147
38.40093;-4.018054
38.50099;-4.013194
38.60107;-4.009786
38.70118;-4.004481
38.80007;-4.000833
38.90016;-3.995712
39.00022;-3.992089
39.10017;-3.986627
39.20007;-3.982111
39.30003;-3.976824
39.40008;-3.971944
39.50012;-3.966091
39.60015;-3.960465
39.70019;-3.954492
39.80028;-3.948462
39.90034;-3.941623
40.0004;-3.935698
40.10043;-3.929353
40.20049;-3.922586
40.30054;-3.917228
40.40061;-3.910568
40.50071;-3.904232
40.60077;-3.898589
40.70079;-3.893532
40.80074;-3.888622
40.90064;-3.883155
41.00052;-3.878519
41.1005;-3.874288
