r;ampl2
11.20084;-5.672085
11.30117;-5.683699
11.40026;-5.701434
11.50056;-5.7147
11.60087;-5.724378
11.7012;-5.747935
11.8003;-5.791167
11.90061;-5.844564
12.00092;-5.892451
12.10004;-5.946822
12.20035;-6.005669
12.30067;-6.049879
12.40097;-6.065936
12.50008;-6.048476
12.60041;-6.012862
12.70072;-5.96406
12.80102;-5.918259
12.90012;-5.878956
13.00044;-5.845059
13.10077;-5.81358
13.20108;-5.787032
13.30018;-5.768241
13.40048;-5.755071
13.5008;-5.751105
13.60111;-5.748107
13.70021;-5.739028
13.8005;-5.733696
13.90081;-5.731945
14.00111;-5.725085
14.1002;-5.715736
14.20051;-5.702443
14.30082;-5.689835
14.40112;-5.679564
14.50022;-5.668776
14.60054;-5.659313
14.70085;-5.655916
14.80116;-5.653299
14.90026;-5.65735
15.00056;-5.669317
15.10086;-5.683432
15.20115;-5.704155
15.30025;-5.721266
15.40055;-5.739715
15.50083;-5.773455
15.60113;-5.818873
15.70021;-5.859764
15.80052;-5.887781
15.90084;-5.903692
16.00112;-5.904024
16.10022;-5.889892
16.20053;-5.846772
16.30083;-5.802746
16.40114;-5.761041
16.50023;-5.711182
16.60053;-5.659509
16.70084;-5.614797
16.80113;-5.579028
16.90023;-5.54545
17.00053;-5.514515
17.10082;-5.487102
17.20112;-5.465731
17.3002;-5.450355
17.40049;-5.43349
17.50079;-5.418159
17.60109;-5.408317
17.70016;-5.404357
17.80046;-5.399412
17.90076;-5.395194
18.00105;-5.39473
18.10013;-5.393941
18.20043;-5.392542
18.30071;-5.396787
18.40102;-5.403801
18.50011;-5.408008
18.6004;-5.412492
18.70068;-5.416414
18.80097;-5.422969
18.90002;-5.430639
19.00027;-5.435772
19.10053;-5.436076
19.20078;-5.43826
19.30103;-5.442032
19.40011;-5.448798
19.50041;-5.451579
19.6007;-5.44808
19.70097;-5.44577
19.80005;-5.443592
19.90033;-5.442292
20.00063;-5.439049
20.10094;-5.433464
20.20004;-5.423123
20.30031;-5.412123
20.4006;-5.402365
20.50087;-5.391872
20.60112;-5.379891
20.70017;-5.371481
20.80044;-5.364709
20.90072;-5.354667
21.00099;-5.345296
21.10005;-5.336434
21.20032;-5.326637
21.30061;-5.319522
21.40088;-5.31424
21.50117;-5.309945
21.60025;-5.304031
21.70052;-5.300288
21.80079;-5.29754
21.90104;-5.293414
22.00009;-5.288748
22.10035;-5.287011
22.20062;-5.284988
22.30089;-5.284497
22.40114;-5.2832
22.50019;-5.278942
22.60043;-5.276915
22.7007;-5.274506
22.80096;-5.274143
22.9;-5.269185
23.00027;-5.26256
23.10054;-5.25743
23.20082;-5.255481
23.30108;-5.254372
23.4001;-5.248982
23.50036;-5.241713
23.60061;-5.237644
23.70087;-5.236196
23.8011;-5.233739
23.90013;-5.230345
24.00039;-5.228293
24.10064;-5.224934
24.20088;-5.222919
24.30112;-5.219577
24.40017;-5.214464
24.50045;-5.211539
24.60073;-5.209349
24.70094;-5.206966
24.80115;-5.201527
24.90016;-5.194844
25.00038;-5.187708
25.1006;-5.183851
25.20083;-5.178028
25.30106;-5.169713
25.40009;-5.161231
25.50033;-5.155391
25.6006;-5.15005
25.70084;-5.145467
25.80107;-5.140079
25.9001;-5.134539
26.00032;-5.130053
26.10055;-5.127215
26.20078;-5.127163
26.30099;-5.1289
26.4012;-5.133371
26.50022;-5.136897
26.60046;-5.141098
26.7007;-5.147229
26.80094;-5.156098
26.9012;-5.165903
27.00023;-5.178861
27.10047;-5.194565
27.20071;-5.209096
27.30094;-5.224694
27.40119;-5.242441
27.50021;-5.26127
27.60039;-5.280559
27.70057;-5.297646
27.80074;-5.309187
27.90085;-5.320458
28.00099;-5.331993
28.10116;-5.337951
28.20018;-5.335908
28.30041;-5.33209
28.40066;-5.328552
28.5009;-5.318724
28.60112;-5.303988
28.70014;-5.292306
28.80032;-5.282789
28.90048;-5.274999
29.00065;-5.26565
29.10086;-5.259423
29.20104;-5.253856
29.30117;-5.250412
29.40009;-5.248624
29.50018;-5.250604
29.6003;-5.254411
29.70047;-5.263233
29.8007;-5.272454
29.90093;-5.282775
30.00114;-5.297375
30.10015;-5.31494
30.20035;-5.3346
30.30054;-5.354921
30.40074;-5.379042
30.50092;-5.406714
30.60111;-5.430979
30.70009;-5.458372
30.80027;-5.48536
30.90043;-5.503305
31.00055;-5.511603
31.10065;-5.510133
31.20079;-5.504328
31.301;-5.491983
31.4012;-5.475754
31.50019;-5.447865
31.60038;-5.420043
31.70052;-5.394708
31.80066;-5.373874
31.90084;-5.351675
32.00102;-5.329427
32.10002;-5.312618
32.20023;-5.298358
32.30039;-5.287954
32.40051;-5.280999
32.50061;-5.275744
32.60076;-5.273952
32.70094;-5.276346
32.8011;-5.281419
32.90007;-5.288982
33.00024;-5.296868
33.10039;-5.307367
33.20053;-5.324295
33.30067;-5.345459
33.40084;-5.363383
33.50101;-5.378352
33.60119;-5.39202
33.70017;-5.402096
33.80035;-5.411279
33.90051;-5.415895
34.00064;-5.412041
34.10075;-5.401442
34.20085;-5.385561
34.30093;-5.36769
34.40104;-5.346754
34.50117;-5.324272
34.60012;-5.303955
34.70025;-5.28783
34.80033;-5.273286
34.90038;-5.258671
35.00046;-5.246555
35.10062;-5.237247
35.2008;-5.228235
35.30096;-5.218718
35.40107;-5.212799
35.50115;-5.211211
35.60119;-5.212515
35.70002;-5.214232
35.80007;-5.215422
35.90016;-5.215678
36.00022;-5.220652
36.10029;-5.226022
36.20039;-5.230163
36.30053;-5.231687
36.40066;-5.231967
36.50073;-5.232288
36.60076;-5.236344
36.70083;-5.238743
36.80097;-5.237888
36.90107;-5.237219
37.00116;-5.239114
37.1;-5.240413
37.20004;-5.236618
37.30006;-5.233003
37.40013;-5.23012
37.50021;-5.228522
37.60029;-5.22721
37.70039;-5.225049
37.8005;-5.22319
37.90056;-5.222506
38.00064;-5.221324
38.10073;-5.221603
38.20083;-5.222305
38.30088;-5.228866
38.40093;-5.237279
38.50099;-5.24627
38.60107;-5.256209
38.70118;-5.26577
38.80007;-5.274165
38.90016;-5.284303
39.00022;-5.302241
39.10017;-5.32521
39.20007;-5.343155
39.30003;-5.354737
39.40008;-5.369417
39.50012;-5.388345
39.60015;-5.401809
39.70019;-5.412966
39.80028;-5.422657
39.90034;-5.432819
40.0004;-5.444582
40.10043;-5.450666
40.20049;-5.4533
40.30054;-5.451097
40.40061;-5.442103
40.50071;-5.427871
40.60077;-5.416516
40.70079;-5.411076
40.80074;-5.403974
40.90064;-5.382349
41.00052;-5.354501
41.1005;-5.332436
41.20054;-5.31643
41.3006;-5.303179
41.40066;-5.288461
41.50071;-5.271662
41.60077;-5.258538
41.70081;-5.250294
41.80082;-5.241835
41.90086;-5.234739
42.00097;-5.228894
42.10103;-5.221497
42.20102;-5.213479
42.30092;-5.211569
42.40087;-5.212941
42.50084;-5.218034
42.60083;-5.219378
42.70086;-5.218622
42.80086;-5.220905
42.90087;-5.22658
43.00089;-5.232096
43.10092;-5.239248
43.20091;-5.246994
43.30089;-5.253373
43.40089;-5.258633
43.5009;-5.263966
43.60096;-5.274342
43.70106;-5.2845
43.80113;-5.29445
43.9012;-5.306039
44.00001;-5.32032
44.10112;-5.332754
44.20096;-5.346358
44.30082;-5.361372
44.40074;-5.378378
44.50075;-5.39339
44.60076;-5.408605
44.70079;-5.430697
44.80078;-5.46145
44.90072;-5.487417
45.00067;-5.509499
45.10067;-5.532362
45.20068;-5.55844
45.3007;-5.588801
45.40075;-5.61668
45.50083;-5.647047
45.60084;-5.674106
45.70081;-5.71855
45.80077;-5.769686
45.90076;-5.809498
46.00077;-5.849193
46.10075;-5.886136
46.20068;-5.919499
46.30062;-5.976212
46.40055;-6.046223
46.50042;-6.090777
46.60023;-6.127416
46.70007;-6.209705
46.80115;-6.370055
46.90104;-6.507831
47.001;-6.519662
47.10102;-6.500069
47.20102;-6.488217
47.30104;-6.422218
47.40101;-6.384144
47.50088;-6.416401
47.60072;-6.46244
47.70049;-6.380136
47.80028;-6.231667
47.90015;-6.155559
48.00003;-6.108913
48.10115;-6.057089
48.20112;-6.01836
48.30107;-5.983105
48.40093;-5.939624
48.50077;-5.921158
48.60061;-5.92559
48.70051;-5.907174
48.80046;-5.854543
48.90043;-5.8041
49.00039;-5.753437
49.10035;-5.728161
49.20023;-5.726374
49.3;-5.726226
49.40093;-5.703504
49.50066;-5.673503
49.60045;-5.650963
49.7003;-5.635292
49.80022;-5.621297
49.90015;-5.615227
