r;ampl2
1.203457E-3;-5.725547
0.1001445;-5.735545
0.2004398;-5.745715
0.3007899;-5.756474
0.4011657;-5.766981
0.5003425;-5.782688
0.6007252;-5.782864
0.7011043;-5.761049
0.8002653;-5.744409
0.9006251;-5.743259
1.00098;-5.749425
1.100116;-5.744589
1.200457;-5.723621
1.300795;-5.713156
1.40113;-5.693193
1.500255;-5.669722
1.60059;-5.642047
1.700924;-5.622602
1.80005;-5.601856
1.900385;-5.592947
2.000722;-5.572606
2.101061;-5.533746
2.200195;-5.50137
2.300537;-5.477024
2.400877;-5.460455
2.500016;-5.448673
2.600355;-5.442144
2.700701;-5.439383
2.801043;-5.436762
2.900177;-5.437976
3.000525;-5.438018
3.100868;-5.439641
3.200001;-5.443504
3.300341;-5.456537
3.400682;-5.47653
3.501021;-5.501141
3.600154;-5.525221
3.700492;-5.547927
3.80083;-5.576377
3.901164;-5.601674
4.000292;-5.618615
4.100627;-5.634686
4.20096;-5.66625
4.300082;-5.705936
4.400412;-5.738198
4.500744;-5.74983
4.601078;-5.764905
4.700198;-5.795923
4.800523;-5.854132
4.900858;-5.919078
5.001192;-5.976214
5.100311;-6.056786
5.200642;-6.169366
5.300978;-6.317618
5.400091;-6.462005
5.500429;-6.552981
5.60076;-6.558504
5.701091;-6.488898
5.80022;-6.423055
5.900544;-6.333336
6.000883;-6.236782
6.101206;-6.168929
6.200337;-6.12301
6.300664;-6.079472
6.401007;-6.022032
6.500115;-5.962182
6.600446;-5.928603
6.700768;-5.895295
6.801111;-5.850342
6.900225;-5.803606
7.00057;-5.765381
7.100899;-5.73908
7.200026;-5.729246
7.300358;-5.712954
7.40068;-5.696942
7.501017;-5.688648
7.60013;-5.68137
7.700467;-5.66806
7.800794;-5.660226
7.901116;-5.657023
8.000241;-5.65309
8.100555;-5.654443
8.200881;-5.663124
8.300002;-5.669685
8.400319;-5.681172
8.50065;-5.700111
8.600978;-5.729552
8.700089;-5.757891
8.800423;-5.787417
8.900744;-5.822795
9.001057;-5.857363
9.10018;-5.908538
9.200502;-5.976708
9.300811;-6.048824
9.401139;-6.102797
9.500261;-6.152606
9.60057;-6.201945
9.700891;-6.219208
9.80001;-6.200173
9.900319;-6.158755
10.00063;-6.093231
10.10096;-6.015668
10.20007;-5.945775
10.30038;-5.885042
10.4007;-5.839523
10.50103;-5.795664
10.60013;-5.758773
10.70045;-5.735096
10.80076;-5.722569
10.90109;-5.702738
11.0002;-5.682408
11.10051;-5.672171
