r;ampl1;ampl2
18.70068;-2.085607;-5.412492
18.80097;-2.080623;-5.416414
18.90002;-2.080269;-5.422969
19.00027;-2.081509;-5.430639
19.10053;-2.086742;-5.435772
19.20078;-2.095768;-5.436076
19.30103;-2.092889;-5.43826
19.40011;-2.092091;-5.442032
19.50041;-2.090382;-5.448798
19.6007;-2.091054;-5.451579
19.70097;-2.093838;-5.44808
19.80005;-2.094076;-5.44577
19.90033;-2.099047;-5.443592
20.00063;-2.098269;-5.442292
20.10094;-2.098079;-5.439049
20.20004;-2.099385;-5.433464
20.30031;-2.095612;-5.423123
20.4006;-2.096214;-5.412123
20.50087;-2.099584;-5.402365
20.60112;-2.105667;-5.391872
20.70017;-2.110039;-5.379891
20.80044;-2.102832;-5.371481
20.90072;-2.098376;-5.364709
21.00099;-2.097601;-5.354667
21.10005;-2.099142;-5.345296
21.20032;-2.104449;-5.336434
21.30061;-2.100686;-5.326637
21.40088;-2.098838;-5.319522
21.50117;-2.099423;-5.31424
21.60025;-2.099663;-5.309945
21.70052;-2.102303;-5.304031
21.80079;-2.104975;-5.300288
21.90104;-2.102592;-5.29754
22.00009;-2.097244;-5.293414
22.10035;-2.093568;-5.288748
22.20062;-2.093509;-5.287011
22.30089;-2.095606;-5.284988
22.40114;-2.100178;-5.284497
22.50019;-2.096884;-5.2832
22.60043;-2.094203;-5.278942
22.7007;-2.094986;-5.276915
22.80096;-2.096878;-5.274506
22.сен;-2.094717;-5.274143
23.00027;-2.09634;-5.269185
23.10054;-2.096613;-5.26256
23.20082;-2.090985;-5.25743
23.30108;-2.088193;-5.255481
23.4001;-2.088562;-5.254372
23.50036;-2.091143;-5.248982
23.60061;-2.096668;-5.241713
23.70087;-2.105327;-5.237644
23.8011;-2.102014;-5.236196
23.90013;-2.094406;-5.233739
24.00039;-2.089935;-5.230345
24.10064;-2.088035;-5.228293
24.20088;-2.088717;-5.224934
24.30112;-2.09258;-5.222919
24.40017;-2.099322;-5.219577
24.50045;-2.105002;-5.214464
24.60073;-2.10281;-5.211539
24.70094;-2.102444;-5.209349
24.80115;-2.098093;-5.206966
24.90016;-2.096609;-5.201527
25.00038;-2.096445;-5.194844
25.1006;-2.100496;-5.187708
25.20083;-2.108067;-5.183851
25.30106;-2.108137;-5.178028
25.40009;-2.104359;-5.169713
25.50033;-2.103437;-5.161231
25.6006;-2.103233;-5.155391
25.70084;-2.108043;-5.15005
25.80107;-2.112105;-5.145467
25.9001;-2.11585;-5.140079
26.00032;-2.12308;-5.134539
26.10055;-2.122428;-5.130053
26.20078;-2.116497;-5.127215
26.30099;-2.112053;-5.127163
26.4012;-2.109677;-5.1289
26.50022;-2.111223;-5.133371
26.60046;-2.116599;-5.136897
26.7007;-2.1254;-5.141098
26.80094;-2.136928;-5.147229
26.9012;-2.14508;-5.156098
27.00023;-2.138688;-5.165903
27.10047;-2.131863;-5.178861
27.20071;-2.127938;-5.194565
27.30094;-2.126725;-5.209096
27.40119;-2.127772;-5.224694
27.50021;-2.133092;-5.242441
27.60039;-2.142348;-5.26127
27.70057;-2.155676;-5.280559
27.80074;-2.157195;-5.297646
27.90085;-2.152224;-5.309187
28.00099;-2.149189;-5.320458
28.10116;-2.148955;-5.331993
28.20018;-2.148829;-5.337951
28.30041;-2.150951;-5.335908
28.40066;-2.156394;-5.33209
28.5009;-2.164781;-5.328552
28.60112;-2.176732;-5.318724
28.70014;-2.175496;-5.303988
28.80032;-2.169662;-5.292306
28.90048;-2.165242;-5.282789
29.00065;-2.162874;-5.274999
29.10086;-2.162908;-5.26565
29.20104;-2.165621;-5.259423
29.30117;-2.173134;-5.253856
29.40009;-2.183589;-5.250412
29.50018;-2.194921;-5.248624
29.6003;-2.194806;-5.250604
29.70047;-2.191333;-5.254411
29.8007;-2.186161;-5.263233
29.90093;-2.180856;-5.272454
30.00114;-2.178206;-5.282775
30.10015;-2.17715;-5.297375
30.20035;-2.179828;-5.31494
30.30054;-2.186246;-5.3346
30.40074;-2.198447;-5.354921
30.50092;-2.212474;-5.379042
30.60111;-2.213634;-5.406714
30.70009;-2.211558;-5.430979
30.80027;-2.206972;-5.458372
30.90043;-2.201307;-5.48536
31.00055;-2.194026;-5.503305
31.10065;-2.191146;-5.511603
31.20079;-2.190856;-5.510133
31.301;-2.194936;-5.504328
31.4012;-2.204439;-5.491983
31.50019;-2.216196;-5.475754
31.60038;-2.22904;-5.447865
31.70052;-2.226608;-5.420043
31.80066;-2.225832;-5.394708
31.90084;-2.219129;-5.373874
32.00102;-2.211782;-5.351675
32.10002;-2.206867;-5.329427
32.20023;-2.203621;-5.312618
32.30039;-2.204148;-5.298358
32.40051;-2.205256;-5.287954
32.50061;-2.211777;-5.280999
32.60076;-2.22337;-5.275744
32.70094;-2.236486;-5.273952
32.8011;-2.240315;-5.276346
32.90007;-2.236218;-5.281419
33.00024;-2.228899;-5.288982
33.10039;-2.224318;-5.296868
33.20053;-2.218773;-5.307367
33.30067;-2.217724;-5.324295
33.40084;-2.217613;-5.345459
33.50101;-2.219579;-5.363383
33.60119;-2.225213;-5.378352
33.70017;-2.229818;-5.39202
33.80035;-2.238945;-5.402096
33.90051;-2.244211;-5.411279
34.00064;-2.242599;-5.415895
34.10075;-2.238436;-5.412041
34.20085;-2.233627;-5.401442
34.30093;-2.22799;-5.385561
34.40104;-2.225347;-5.36769
34.50117;-2.223878;-5.346754
34.60012;-2.225525;-5.324272
34.70025;-2.229092;-5.303955
34.80033;-2.2348;-5.28783
34.90038;-2.243117;-5.273286
35.00046;-2.250256;-5.258671
35.10062;-2.252795;-5.246555
35.2008;-2.249535;-5.237247
35.30096;-2.243574;-5.228235
35.40107;-2.238825;-5.218718
35.50115;-2.235995;-5.212799
35.60119;-2.234389;-5.211211
35.70002;-2.235046;-5.212515
35.80007;-2.233509;-5.214232
35.90016;-2.234882;-5.215422
36.00022;-2.238109;-5.215678
36.10029;-2.243635;-5.220652
36.20039;-2.25291;-5.226022
36.30053;-2.263517;-5.230163
36.40066;-2.26253;-5.231687
36.50073;-2.261101;-5.231967
36.60076;-2.254606;-5.232288
36.70083;-2.247577;-5.236344
36.80097;-2.243521;-5.238743
36.90107;-2.242234;-5.237888
37.00116;-2.242843;-5.237219
37.1;-2.245895;-5.239114
37.20004;-2.248198;-5.240413
37.30006;-2.248806;-5.236618
37.40013;-2.251275;-5.233003
37.50021;-2.256093;-5.23012
37.60029;-2.258965;-5.228522
37.70039;-2.261641;-5.22721
37.8005;-2.263344;-5.225049
37.90056;-2.266347;-5.22319
38.00064;-2.265017;-5.222506
38.10073;-2.261305;-5.221324
38.20083;-2.256631;-5.221603
38.30088;-2.25528;-5.222305
38.40093;-2.256513;-5.228866
38.50099;-2.255616;-5.237279
38.60107;-2.258258;-5.24627
38.70118;-2.262995;-5.256209
38.80007;-2.261641;-5.26577
38.90016;-2.259894;-5.274165
39.00022;-2.260417;-5.284303
39.10017;-2.260555;-5.302241
39.20007;-2.260693;-5.32521
39.30003;-2.262783;-5.343155
39.40008;-2.266436;-5.354737
39.50012;-2.265982;-5.369417
39.60015;-2.268359;-5.388345
39.70019;-2.26697;-5.401809
39.80028;-2.264617;-5.412966
39.90034;-2.260051;-5.422657
40.0004;-2.257853;-5.432819
40.10043;-2.256704;-5.444582
40.20049;-2.257677;-5.450666
40.30054;-2.258593;-5.4533
40.40061;-2.260385;-5.451097
40.50071;-2.260546;-5.442103
40.60077;-2.261835;-5.427871
40.70079;-2.262538;-5.416516
40.80074;-2.263541;-5.411076
40.90064;-2.265767;-5.403974
41.00052;-2.265832;-5.382349
41.1005;-2.266782;-5.354501
41.20054;-2.268882;-5.332436
41.3006;-2.266078;-5.31643
41.40066;-2.261966;-5.303179
41.50071;-2.261635;-5.288461
